name,surname,URI
LUIGI,VIVIANI,http://dati.camera.it/ocd/persona.rdf/p200981
DEMETRIO,VOLCIC,http://dati.camera.it/ocd/persona.rdf/p200982
MASSIMO,WILDE,http://dati.camera.it/ocd/persona.rdf/p200986
TOMASO,ZANOLETTI,http://dati.camera.it/ocd/persona.rdf/p200993
ORTENSIO,ZECCHINO,http://dati.camera.it/ocd/persona.rdf/p200997
GIANCARLO,ZILIO,http://dati.camera.it/ocd/persona.rdf/p200998
GIUSEPPE,MASCIONI,http://dati.camera.it/ocd/persona.rdf/p201005
LORENZO,PICCIONI,http://dati.camera.it/ocd/persona.rdf/p201006
ARTURO MARIO,ZAMBRINO,http://dati.camera.it/ocd/persona.rdf/p201008
CORRADO,DANZI,http://dati.camera.it/ocd/persona.rdf/p201009
PIERGIORGIO,STIFFONI,http://dati.camera.it/ocd/persona.rdf/p200915
FRANCESCO,TABLADINI,http://dati.camera.it/ocd/persona.rdf/p200920
GIANCARLO,TAPPARO,http://dati.camera.it/ocd/persona.rdf/p200925
IVO,TAROLLI,http://dati.camera.it/ocd/persona.rdf/p200926
PAOLO EMILIO,TAVIANI,http://dati.camera.it/ocd/persona.rdf/p200929
GIULIO MARIO,TERRACINI,http://dati.camera.it/ocd/persona.rdf/p200932
FRANCESCO,TIRELLI,http://dati.camera.it/ocd/persona.rdf/p200936
ANTONIO,TOMASSINI,http://dati.camera.it/ocd/persona.rdf/p200938
MARCO,TONIOLLI,http://dati.camera.it/ocd/persona.rdf/p200939
GIUSEPPE,TURINI,http://dati.camera.it/ocd/persona.rdf/p200949
GIUSEPPE,VALENTINO,http://dati.camera.it/ocd/persona.rdf/p200951
LEO,VALIANI,http://dati.camera.it/ocd/persona.rdf/p200954
ANTONINO,VALLETTA,http://dati.camera.it/ocd/persona.rdf/p200956
SERGIO,VEDOVATO,http://dati.camera.it/ocd/persona.rdf/p200957
GIUSEPPE CARLO FERDINANDO,VEGAS,http://dati.camera.it/ocd/persona.rdf/p200958
MASSIMO,VELTRI,http://dati.camera.it/ocd/persona.rdf/p200960
COSIMO,VENTUCCI,http://dati.camera.it/ocd/persona.rdf/p200963
GIAN GIACOMO,MIGONE,http://dati.camera.it/ocd/persona.rdf/p200624
RICCARDO,MINARDO,http://dati.camera.it/ocd/persona.rdf/p200626
