name,surname,URI
LUIGI,BORSARELLI DI RIFREDDO,http://dati.camera.it/ocd/persona.rdf/pr1231
CAMILLO,COLOMBINI,http://dati.camera.it/ocd/persona.rdf/pr1670
DESIDERATO,CHIAVES,http://dati.camera.it/ocd/persona.rdf/pr1676
MICHELE,CHIESA,http://dati.camera.it/ocd/persona.rdf/pr1681
BONAVENTURA,CHIGI ZONDADARI,http://dati.camera.it/ocd/persona.rdf/pr1684
GIUSEPPE,CHINDAMO,http://dati.camera.it/ocd/persona.rdf/pr1688
BENEDETTO,CIRMENI,http://dati.camera.it/ocd/persona.rdf/pr1765
PIETRO,DE GIORGIO,http://dati.camera.it/ocd/persona.rdf/pr1767
IPPOLITO ONORIO,DE LUCA,http://dati.camera.it/ocd/persona.rdf/pr1776
PAOLO ANANIA,DE LUCA,http://dati.camera.it/ocd/persona.rdf/pr1777
MARCELLO,DE MARI,http://dati.camera.it/ocd/persona.rdf/pr1780
ANTONIO,CEFALY,http://dati.camera.it/ocd/persona.rdf/pr1726
TOMMASO,CELESIA DI VEGLIASCO,http://dati.camera.it/ocd/persona.rdf/pr1729
ANGELO,CELLI,http://dati.camera.it/ocd/persona.rdf/pr1731
GIUSEPPE,CENCELLI,http://dati.camera.it/ocd/persona.rdf/pr1735
GIUSEPPE,CENERI,http://dati.camera.it/ocd/persona.rdf/pr1736
ALESSANDRO,CENTURINI,http://dati.camera.it/ocd/persona.rdf/pr1737
LODOVICO,CERIANA MAYNERI,http://dati.camera.it/ocd/persona.rdf/pr1745
FRANCESCO,CIMBALI,http://dati.camera.it/ocd/persona.rdf/pr1750
GIOVANNI,CANTONI,http://dati.camera.it/ocd/persona.rdf/pr1561
LUIGI,CANZI,http://dati.camera.it/ocd/persona.rdf/pr1564
ANTONIO,CAO PINNA,http://dati.camera.it/ocd/persona.rdf/pr1566
LUIGI,CAPALDO,http://dati.camera.it/ocd/persona.rdf/pr1567
PASQUALE,CAPILONGO,http://dati.camera.it/ocd/persona.rdf/pr1575
ANTONIO,CAPODURO,http://dati.camera.it/ocd/persona.rdf/pr1581
FILIPPO,CAPONE,http://dati.camera.it/ocd/persona.rdf/pr1583
MICHELE,CAPOZZI,http://dati.camera.it/ocd/persona.rdf/pr1586
VINCENZO,CAPPELLERI,http://dati.camera.it/ocd/persona.rdf/pr1590
RAFFAELE,CAPPELLI,http://dati.camera.it/ocd/persona.rdf/pr1592
ROSARIO,CANCELLIERI,http://dati.camera.it/ocd/persona.rdf/pr1543
GIOVANNI,CANEGALLO,http://dati.camera.it/ocd/persona.rdf/pr1545
FRANCESCO,AURITI,http://dati.camera.it/ocd/persona.rdf/pr156
FELICE,CHIAPUSSO,http://dati.camera.it/ocd/persona.rdf/pr1627
EMIDIO,CHIARADIA,http://dati.camera.it/ocd/persona.rdf/pr1631
ALBERTO,CASTOLDI,http://dati.camera.it/ocd/persona.rdf/pr1633
PAOLO,CASTORINA,http://dati.camera.it/ocd/persona.rdf/pr1634
EMILIO,CATAPANO,http://dati.camera.it/ocd/persona.rdf/pr1637
CARLO,CAVAGNARI,http://dati.camera.it/ocd/persona.rdf/pr1645
ADOLFO,CAVALIERI,http://dati.camera.it/ocd/persona.rdf/pr1646
ALBERTO,CAVALLETTO,http://dati.camera.it/ocd/persona.rdf/pr1649
GIOVANNI,CODRONCHI ARGELI,http://dati.camera.it/ocd/persona.rdf/pr1654
GIROLAMO,COFFARI,http://dati.camera.it/ocd/persona.rdf/pr1655
